54 211	210	# Tȑ => Ȑ
54 213	212	# Tȓ => Ȓ
54 215	214	# Tȕ => Ȕ
54 217	216	# Tȗ => Ȗ
54 219	218	# Tș => Ș
54 21B	21A	# Tț => Ț
54 21D	21C	# Tȝ => Ȝ
54 21F	21E	# Tȟ => Ȟ
54 223	222	# Tȣ => Ȣ
54 225	224	# Tȥ => Ȥ
54 227	226	# Tȧ => Ȧ
54 229	228	# Tȩ => Ȩ
54 22B	22A	# Tȫ => Ȫ
54 22D	22C	# Tȭ => Ȭ
54 22F	22E	# Tȯ => Ȯ
54 231	230	# Tȱ => Ȱ
54 233	232	# Tȳ => Ȳ
54 23C	23B	# Tȼ => Ȼ
54 23F	2C7E	# Tȿ => Ȿ
54 240	2C7F	# Tɀ => Ɀ
54 242	241	# Tɂ => Ɂ
54 247	246	# Tɇ => Ɇ
54 249	248	# Tɉ => Ɉ
54 24B	24A	# Tɋ => Ɋ
54 24D	24C	# Tɍ => Ɍ
54 24F	24E	# Tɏ => Ɏ
54 250	2C6F	# Tɐ => Ɐ
54 251	2C6D	# Tɑ => Ɑ
54 252	2C70	# Tɒ => Ɒ
54 253	181	# Tɓ => Ɓ
54 254	186	# Tɔ => Ɔ
54 256	189	# Tɖ => Ɖ
54 257	18A	# Tɗ => Ɗ
54 259	18F	# Tə => Ə
54 25B	190	# Tɛ => Ɛ
54 25C	A7AB	# Tɜ => Ɜ
54 260	193	# Tɠ => Ɠ
54 261	A7AC	# Tɡ => Ɡ
54 263	194	# Tɣ => Ɣ
54 264	A7CB	# Tɤ => Ɤ
54 265	A78D	# Tɥ => Ɥ
54 266	A7AA	# Tɦ => Ɦ
54 268	197	# Tɨ => Ɨ
54 269	196	# Tɩ => Ɩ
54 26A	A7AE	# Tɪ => Ɪ
54 26B	2C62	# Tɫ => Ɫ
54 26C	A7AD	# Tɬ => Ɬ
54 26F	19C	# Tɯ => Ɯ
54 271	2C6E	# Tɱ => Ɱ
54 272	19D	# Tɲ => Ɲ
54 275	19F	# Tɵ => Ɵ
54 27D	2C64	# Tɽ => Ɽ
54 280	1A6	# Tʀ => Ʀ
54 282	A7C5	# Tʂ => Ʂ
54 283	1A9	# Tʃ => Ʃ
54 287	A7B1	# Tʇ => Ʇ
54 288	1AE	# Tʈ => Ʈ
54 289	244	# Tʉ => Ʉ
54 28A	1B1	# Tʊ => Ʊ
54 28B	1B2	# Tʋ => Ʋ
54 28C	245	# Tʌ => Ʌ
54 292	1B7	# Tʒ => Ʒ
54 29D	A7B2	# Tʝ => Ʝ
54 29E	A7B0	# Tʞ => Ʞ
54 371	370	# Tͱ => Ͱ
54 373	372	# Tͳ => Ͳ
54 377	376	# Tͷ => Ͷ
54 37B	3FD	# Tͻ => Ͻ
54 37C	3FE	# Tͼ => Ͼ
54 37D	3FF	# Tͽ => Ͽ
54 3AC	386	# Tά => Ά
54 3AD	388	# Tέ => Έ
54 3AE	389	# Tή => Ή
54 3AF	38A	# Tί => Ί
54 3B1	391	# Tα => Α
54 3B2	392	# Tβ => Β
54 3B3	393	# Tγ => Γ
54 3B4	394	# Tδ => Δ
54 3B5	395	# Tε => Ε
54 3B6	396	# Tζ => Ζ
54 3B7	397	# Tη => Η
54 3B8	398	# Tθ => Θ
54 3B9	399	# Tι => Ι
54 3BA	39A	# Tκ => Κ
54 3BB	39B	# Tλ => Λ
54 3BC	39C	# Tμ => Μ
54 3BD	39D	# Tν => Ν
54 3BE	39E	# Tξ => Ξ
54 3BF	39F	# Tο => Ο
54 3C0	3A0	# Tπ => Π
54 3C1	3A1	# Tρ => Ρ
54 3C3	3A3	# Tσ => Σ
54 3C4	3A4	# Tτ => Τ
54 3C5	3A5	# Tυ => Υ
54 3C6	3A6	# Tφ => Φ
54 3C7	3A7	# Tχ => Χ
54 3C8	3A8	# Tψ => Ψ
54 3C9	3A9	# Tω => Ω
54 3CA	3AA	# Tϊ => Ϊ
54 3CB	3AB	# Tϋ => Ϋ
54 3CC	38C	# Tό => Ό
