1CF	55 1D0	# Ǐ => Uǐ
1D1	55 1D2	# Ǒ => Uǒ
1D3	55 1D4	# Ǔ => Uǔ
1D5	55 1D6	# Ǖ => Uǖ
1D7	55 1D8	# Ǘ => Uǘ
1D9	55 1DA	# Ǚ => Uǚ
1DB	55 1DC	# Ǜ => Uǜ
1DE	55 1DF	# Ǟ => Uǟ
1E0	55 1E1	# Ǡ => Uǡ
1E2	55 1E3	# Ǣ => Uǣ
1E4	55 1E5	# Ǥ => Uǥ
1E6	55 1E7	# Ǧ => Uǧ
1E8	55 1E9	# Ǩ => Uǩ
1EA	55 1EB	# Ǫ => Uǫ
1EC	55 1ED	# Ǭ => Uǭ
1EE	55 1EF	# Ǯ => Uǯ
1F1	55 1F3	# Ǳ => Uǳ
1F4	55 1F5	# Ǵ => Uǵ
1F6	55 195	# Ƕ => Uƕ
1F7	55 1BF	# Ƿ => Uƿ
1F8	55 1F9	# Ǹ => Uǹ
1FA	55 1FB	# Ǻ => Uǻ
1FC	55 1FD	# Ǽ => Uǽ
1FE	55 1FF	# Ǿ => Uǿ
200	55 201	# Ȁ => Uȁ
202	55 203	# Ȃ => Uȃ
204	55 205	# Ȅ => Uȅ
206	55 207	# Ȇ => Uȇ
208	55 209	# Ȉ => Uȉ
20A	55 20B	# Ȋ => Uȋ
20C	55 20D	# Ȍ => Uȍ
20E	55 20F	# Ȏ => Uȏ
210	55 211	# Ȑ => Uȑ
212	55 213	# Ȓ => Uȓ
214	55 215	# Ȕ => Uȕ
216	55 217	# Ȗ => Uȗ
218	55 219	# Ș => Uș
21A	55 21B	# Ț => Uț
21C	55 21D	# Ȝ => Uȝ
21E	55 21F	# Ȟ => Uȟ
220	55 19E	# Ƞ => Uƞ
222	55 223	# Ȣ => Uȣ
224	55 225	# Ȥ => Uȥ
226	55 227	# Ȧ => Uȧ
228	55 229	# Ȩ => Uȩ
22A	55 22B	# Ȫ => Uȫ
22C	55 22D	# Ȭ => Uȭ
22E	55 22F	# Ȯ => Uȯ
230	55 231	# Ȱ => Uȱ
232	55 233	# Ȳ => Uȳ
23A	55 2C65	# Ⱥ => Uⱥ
23B	55 23C	# Ȼ => Uȼ
23D	55 19A	# Ƚ => Uƚ
23E	55 2C66	# Ⱦ => Uⱦ
241	55 242	# Ɂ => Uɂ
243	55 180	# Ƀ => Uƀ
244	55 289	# Ʉ => Uʉ
245	55 28C	# Ʌ => Uʌ
246	55 247	# Ɇ => Uɇ
248	55 249	# Ɉ => Uɉ
24A	55 24B	# Ɋ => Uɋ
24C	55 24D	# Ɍ => Uɍ
24E	55 24F	# Ɏ => Uɏ
370	55 371	# Ͱ => Uͱ
372	55 373	# Ͳ => Uͳ
376	55 377	# Ͷ => Uͷ
37E	50 37E	# ; => P;
37F	55 3F3	# Ϳ => Uϳ
386	55 3AC	# Ά => Uά
387	50 387	# · => P·
388	55 3AD	# Έ => Uέ
389	55 3AE	# Ή => Uή
38A	55 3AF	# Ί => Uί
38C	55 3CC	# Ό => Uό
38E	55 3CD	# Ύ => Uύ
38F	55 3CE	# Ώ => Uώ
391	55 3B1	# Α => Uα
392	55 3B2	# Β => Uβ
393	55 3B3	# Γ => Uγ
394	55 3B4	# Δ => Uδ
395	55 3B5	# Ε => Uε
396	55 3B6	# Ζ => Uζ
397	55 3B7	# Η => Uη
398	55 3B8	# Θ => Uθ
399	55 3B9	# Ι => Uι
39A	55 3BA	# Κ => Uκ
39B	55 3BB	# Λ => Uλ
39C	55 3BC	# Μ => Uμ
39D	55 3BD	# Ν => Uν
39E	55 3BE	# Ξ => Uξ
39F	55 3BF	# Ο => Uο
3A0	55 3C0	# Π => Uπ
3A1	55 3C1	# Ρ => Uρ
3A3	55 3C3	# Σ => Uσ
3A4	55 3C4	# Τ => Uτ
3A5	55 3C5	# Υ => Uυ
3A6	55 3C6	# Φ => Uφ
3A7	55 3C7	# Χ => Uχ
3A8	55 3C8	# Ψ => Uψ
3A9	55 3C9	# Ω => Uω
3AA	55 3CA	# Ϊ => Uϊ
3AB	55 3CB	# Ϋ => Uϋ
3CF	55 3D7	# Ϗ => Uϗ
3D8	55 3D9	# Ϙ => Uϙ
3DA	55 3DB	# Ϛ => Uϛ
3DC	55 3DD	# Ϝ => Uϝ
3DE	55 3DF	# Ϟ => Uϟ
3E0	55 3E1	# Ϡ => Uϡ
3E2	55 3E3	# Ϣ => Uϣ
3E4	55 3E5	# Ϥ => Uϥ
3E6	55 3E7	# Ϧ => Uϧ
3E8	55 3E9	# Ϩ => Uϩ
3EA	55 3EB	# Ϫ => Uϫ
3EC	55 3ED	# Ϭ => Uϭ
3EE	55 3EF	# Ϯ => Uϯ
